RequestId,OriginStop,DestStop,SpawnTime,BoardTime,AlightTime,Wait,Ride,Total
348,6,2,24635.0,38155.0,39635.0,13520.0,1480.0,15000.0
349,5,0,24665.0,36485.0,43490.0,11820.0,7005.0,18825.0
350,6,0,24680.0,38155.0,44010.0,13475.0,5855.0,19330.0
351,7,0,24695.0,29045.0,30525.0,4350.0,1480.0,5830.0
352,6,7,24705.0,38155.0,42525.0,13450.0,4370.0,17820.0
353,9,7,24710.0,29110.0,34895.0,4400.0,5785.0,10185.0
354,6,7,24750.0,38155.0,42525.0,13405.0,4370.0,17775.0
355,6,0,24760.0,38155.0,44010.0,13395.0,5855.0,19250.0
356,9,8,24775.0,29110.0,29675.0,4335.0,565.0,4900.0
357,0,7,24800.0,30525.0,36675.0,5725.0,6150.0,11875.0
358,5,2,24800.0,36485.0,39120.0,11685.0,2635.0,14320.0
359,0,2,24805.0,30525.0,33785.0,5720.0,3260.0,8980.0
360,6,7,24820.0,38155.0,42525.0,13335.0,4370.0,17705.0
361,9,0,24830.0,30890.0,38155.0,6060.0,7265.0,13325.0
362,0,9,24855.0,35860.0,36225.0,11005.0,365.0,11370.0
363,4,6,24855.0,30045.0,30525.0,5190.0,480.0,5670.0
364,5,6,24855.0,36485.0,37640.0,11630.0,1155.0,12785.0
365,6,0,24855.0,38155.0,44010.0,13300.0,5855.0,19155.0
366,6,4,24870.0,38155.0,45305.0,13285.0,7150.0,20435.0
367,6,9,24920.0,38155.0,44375.0,13235.0,6220.0,19455.0
368,3,5,24925.0,30525.0,36485.0,5600.0,5960.0,11560.0
369,6,7,24935.0,38155.0,42525.0,13220.0,4370.0,17590.0
370,0,2,24970.0,35860.0,39120.0,10890.0,3260.0,14150.0
371,1,3,24970.0,26920.0,31040.0,1950.0,4120.0,6070.0
372,6,0,25025.0,38155.0,44010.0,13130.0,5855.0,18985.0
373,6,7,25045.0,38155.0,42525.0,13110.0,4370.0,17480.0
374,8,4,25055.0,29675.0,30045.0,4620.0,370.0,4990.0
375,0,2,25060.0,35860.0,39120.0,10800.0,3260.0,14060.0
376,7,0,25060.0,34380.0,35860.0,9320.0,1480.0,10800.0
377,7,5,25065.0,34895.0,37000.0,9830.0,2105.0,11935.0
378,4,0,25080.0,30045.0,36375.0,4965.0,6330.0,11295.0
379,6,0,25120.0,38155.0,44010.0,13035.0,5855.0,18890.0
380,1,6,25155.0,28700.0,32300.0,3545.0,3600.0,7145.0
381,6,0,25180.0,39935.0,45785.0,14755.0,5850.0,20605.0
382,7,6,25215.0,34895.0,38155.0,9680.0,3260.0,12940.0
383,0,4,25235.0,35860.0,37160.0,10625.0,1300.0,11925.0
384,1,9,25285.0,28700.0,30890.0,3415.0,2190.0,5605.0
385,6,0,25295.0,39935.0,45785.0,14640.0,5850.0,20490.0
